gene	Lymphgen_no_CNV	DLBCLass_no_CNV
BCL2_SV	1	1
BCL6_SV	1	1
MYD88HOTSPOT	1	0
ACTB	1	1
ACTG1	1	0
BCL10	1	1
BCL2	1	1
BCL2L1	1	0
BCL6	1	1
BTG1	1	1
BTG2	1	1
CD70	1	1
CD79B	1	1
CD83	1	1
CREBBP	1	1
DDX3X	1	0
DTX1	1	1
DUSP2	1	1
EDRF1	1	0
EIF4A2	1	0
EP300	1	1
ETS1	1	1
ETV6	1	1
EZH2	1	1
FOXC1	1	0
GRHPR	1	1
HIST1H1B	1	1
HIST1H2BC	1	1
HLA-A	1	1
HLA-B	1	1
ID3	1	0
IRF8	1	1
ITPKB	1	0
JUNB	1	0
KLF2	1	0
KLHL14	1	0
KMT2D	1	1
MBTPS1	1	0
MED16	1	0
MEF2B	1	1
MPEG1	1	0
NFKBIA	1	1
NOL9	1	0
NOTCH1	1	0
NOTCH2	1	1
OSBPL10	1	1
PIM1	1	1
PIM2	1	1
PRDM1	1	1
PRRC2A	1	0
PPRC2C	1	0
RFTN1	1	0
SEC24C	1	0
SETD1B	1	0
SGK1	1	1
SOCS1	1	1
SPEN	1	1
STAT3	1	1
TBL1XR1	1	1
TET2	1	1
TNFAIP3	1	1
TNFRSF14	1	1
UBE2A	1	1
WEE1	1	0
ZFP36L1	1	1
MYD88	0	1
TNIP1	0	1
NFKBIE	0	1
FAS	0	1
CD58	0	1
B2M	0	1
FADD	0	1
HIST1H2AC	0	1
HIST1H1E	0	1
HIST1H2AM	0	1
HIST1H1C	0	1
HIST1H1D	0	1
PTPN6	0	1
BRAF	0	1
KRAS	0	1
SF3B1	0	1
CD274	0	1
MEF2C	0	1
KLHL6	0	1
CXCR4	0	1
PTEN	0	1
RAC2	0	1
SESN3	0	1
METAP1D	0	1
CRIP1	0	1
LTB	0	1
YY1	0	1
PABPC1	0	1
ZC3H12A	0	1
IGLL5	0	1
TMSB4X	0	1
HLA-C	0	1
TOX	0	1
LYN	0	1
POU2F2	0	1
IKZF3	0	1
CARD11	0	1
IRF2BP2	0	1
ATP2A2	0	1
IRF4	0	1
BCL11A	0	1
CCDC27	0	1
TMEM30A	0	1
ZEB2	0	1
GNAI2	0	1
EBF1	0	1
BCL7A	0	1
TUBGCP5	0	1
SMG7	0	1
RHOA	0	1
TP53	0	1
GNA13	0	1
MAP2K1	0	1
HVCN1	0	1
EEF1A1	0	1
POU2AF1	0	1

