	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
SV.BCL6	C1	3.594558649008105e-05	9.99990000099999e-06	0.21636363636363634	0.6134453781512605	0.17647058823529416	0.033613445378151266	0.09243697478991597	0.08403361344537816	0.13272727272727272	0.038181818181818185	0.007272727272727273	0.02	0.01818181818181818	73	41	21	106	4	91	11	64	10	129	219	63	12	33	30
DTX1	C1	3.594558649008105e-05	9.99990000099999e-06	0.1709090909090909	0.4468085106382979	0.10638297872340426	0.0851063829787234	0.2021276595744681	0.1595744680851064	0.07636363636363637	0.01818181818181818	0.014545454545454545	0.034545454545454546	0.02727272727272727	42	72	10	117	8	87	19	56	15	124	78	17	13	34	26
CD70	C1	3.594558649008105e-05	9.99990000099999e-06	0.09636363636363636	0.7169811320754718	0.03773584905660377	0.03773584905660377	0.1320754716981132	0.07547169811320754	0.06909090909090909	0.0036363636363636364	0.0036363636363636364	0.012727272727272728	0.007272727272727273	38	76	2	125	2	93	7	68	4	135	76	4	4	14	7
TNFAIP3	C1	3.594558649008105e-05	9.99990000099999e-06	0.1290909090909091	0.5070422535211268	0.07042253521126761	0.09859154929577466	0.1971830985915493	0.1267605633802817	0.06545454545454546	0.00909090909090909	0.012727272727272728	0.025454545454545455	0.016363636363636365	36	78	5	122	7	88	14	61	9	130	72	10	13	28	18
NOTCH2	C1	3.594558649008105e-05	9.99990000099999e-06	0.08363636363636365	0.6956521739130433	0.10869565217391303	0.08695652173913042	0.021739130434782605	0.08695652173913042	0.05818181818181818	0.00909090909090909	0.007272727272727273	0.0018181818181818182	0.007272727272727273	32	82	5	122	4	91	1	74	4	135	64	10	7	2	8
BCL10	C1	3.594558649008105e-05	9.99990000099999e-06	0.07818181818181819	0.6511627906976744	0.09302325581395349	0.09302325581395349	0.046511627906976744	0.11627906976744184	0.05090909090909091	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.00909090909090909	28	86	4	123	4	91	2	73	5	134	56	8	8	4	10
B2M	C1	3.594558649008105e-05	9.99990000099999e-06	0.11272727272727273	0.3870967741935484	0.1774193548387097	0.14516129032258066	0.25806451612903225	0.03225806451612903	0.04363636363636364	0.02	0.016363636363636365	0.02909090909090909	0.0036363636363636364	24	90	11	116	9	86	16	59	2	137	48	22	18	32	4
CD58	C1	3.594558649008105e-05	9.99990000099999e-06	0.0890909090909091	0.4897959183673469	0.1020408163265306	0.02040816326530612	0.22448979591836735	0.16326530612244897	0.04363636363636364	0.00909090909090909	0.0018181818181818182	0.02	0.014545454545454545	24	90	5	122	1	94	11	64	8	131	48	10	2	22	16
X5Q.AMP	C1	3.594558649008105e-05	9.99990000099999e-06	0.11454545454545456	0.38095238095238093	0.38095238095238093	0.1111111111111111	0.06349206349206349	0.06349206349206349	0.04363636363636364	0.04363636363636364	0.012727272727272728	0.007272727272727273	0.007272727272727273	24	90	24	103	7	88	4	71	4	135	24	24	7	4	4
FAS	C1	3.594558649008105e-05	9.99990000099999e-06	0.09636363636363637	0.43396226415094336	0.11320754716981132	0.22641509433962265	0.16981132075471697	0.05660377358490566	0.04181818181818182	0.01090909090909091	0.02181818181818182	0.016363636363636365	0.005454545454545455	23	91	6	121	12	83	9	66	3	136	46	12	24	18	6
